"id","latitude","longitude","wsp"
176,54.9495,15.9549,-0.144938
177,52.5784,12.084,-0.104406
178,50.1037,8.60773,-0.0661817
179,47.5457,5.46794,-0.0309333
180,44.9206,2.61344,0.000900272
181,42.242,0,0.0290668
182,39.5208,-2.41033,0.0534829
183,36.7661,-4.65005,0.074204
184,62.3332,83.4193,-0.296253
185,62.8928,76.5141,-0.309278
186,63.1113,69.4193,-0.314422
187,62.9792,62.298,-0.311308
188,62.5003,55.3173,-0.300119
189,61.6914,48.6244,-0.281584
190,60.5794,42.3281,-0.256851
191,59.1968,36.4928,-0.227309
192,57.5785,31.142,-0.194435
193,55.7582,26.2679,-0.15965
194,53.7671,21.8426,-0.124242
195,51.6327,17.8268,-0.0893118
196,49.3785,14.177,-0.0557548
197,47.0248,10.8496,-0.0242729
198,44.5882,7.80367,0.00462767
199,42.083,5.00171,0.0306071
200,39.5208,2.41033,0.0534829
201,36.9116,0,0.0732045
202,34.2637,-2.25522,0.0898386
203,55.6712,-86.694,-0.158046
204,56.3512,-81.0607,-0.170728
205,52.9822,-83.8075,-0.111036
206,56.7603,-75.2569,-0.178513
207,53.5083,-78.4136,-0.119841
208,50.2316,-81.2631,-0.0680568
209,56.888,-69.3635,-0.180967
210,53.7714,-72.9064,-0.124316
211,50.6148,-76.0902,-0.0737396
212,47.4316,-78.9987,-0.0294596
213,56.7309,-63.47,-0.17795
214,53.7657,-67.3561,-0.124218
215,50.7434,-70.8469,-0.0756687
216,47.6808,-74.0274,-0.0326889
217,44.5914,-76.9647,0.00459211
218,56.2927,-57.6658,-0.169624
219,53.4908,-61.836,-0.119545
220,50.6147,-65.5931,-0.0737381
221,47.6838,-69.018,-0.0327281
222,44.714,-72.1762,0.00322487
223,41.7186,-75.1214,0.0340828
224,55.584,-52.0314,-0.156443
225,52.9526,-56.4165,-0.110546
226,50.2311,-60.3892,-0.0680494
227,47.4407,-64.0215,-0.0295768
228,44.5989,-67.374,0.00450873
229,41.7207,-70.498,0.034063
230,38.8188,-73.4367,0.0591317
231,54.6212,-46.6315,-0.139095
232,52.1622,-51.1594,-0.0976882
233,49.5997,-55.2914,-0.0588985
234,46.9555,-59.0877,-0.0233998
235,44.2481,-62.6017,0.00837233
236,41.4936,-65.8798,0.0361914
237,38.7057,-68.9623,0.0600178
238,35.8967,-71.8844,0.0799647
239,53.4244,-41.5118,-0.118424
240,51.135,-46.1136,-0.0816109
241,48.7319,-50.3478,-0.0467491
242,46.2364,-54.2619,-0.0145184
243,43.6673,-57.9004,0.0146071
244,41.0409,-61.3035,0.0403481
245,38.3719,-64.5074,0.0625943
246,35.673,-67.5442,0.0813893
247,32.9561,-70.4431,0.0968998
248,52.016,-36.6986,-0.0953564
249,49.8895,-41.3135,-0.0630658
250,47.6424,-45.5962,-0.0321887
251,45.2949,-49.5823,-0.00337741
252,42.8652,-53.307,0.0228898
253,40.3694,-56.8036,0.0463051
254,37.8224,-60.1034,0.0667119
255,35.2373,-63.2347,0.0840974
256,32.6261,-66.2239,0.0985687
257,30,-69.0948,0.110333
258,50.4192,-32.2017,-0.0708267
259,48.4458,-36.7792,-0.0428514
260,46.3483,-41.0629,-0.0158792
261,44.1451,-45.0782,0.0094927
262,41.8533,-48.8517,0.0328068
263,39.4883,-52.41,0.0537502
264,37.0646,-55.7788,0.0721424
265,34.5954,-58.9825,0.0879301
266,32.0928,-62.044,0.101173
267,29.5679,-64.9847,0.112025
268,27.031,-67.8248,0.120721
269,48.6563,-28.0172,-0.045714
