sol_lon;latitude;insol
0;-90.0;0.031011036153456253
0;-89.0;3.1009461917891064
0;-88.0;6.200947805328643
0;-87.0;9.299060550096746
0;-86.0;12.394340710939227
0;-85.0;15.485845435534523
0;-84.0;18.5726330215954
0;-83.0;21.653763203720768
0;-82.0;24.728297439809563
0;-81.0;27.795299196949795
0;-80.0;30.853834236695523
0;-79.0;33.90297089964496
0;-78.0;36.94178038923291
0;-77.0;39.96933705465119
0;-76.0;42.984718672811006
0;-75.0;45.98700672926077
0;-74.0;48.975286697974646
0;-73.0;51.948648319926086
0;-72.0;54.9061858803614
0;-71.0;57.84699848468941
0;-70.0;60.77019033290251
0;-69.0;63.67487099244616
0;-68.0;66.56015566945315
0;-67.0;69.42516547826055
0;-66.0;72.2690277091266
0;-65.0;75.09087609406664
0;-64.0;77.8898510707268
0;-63.0;80.66510004421488
0;-62.0;83.41577764680912
0;-61.0;86.14104599546535
0;-60.0;88.84007494704433
0;-59.0;91.51204235118126
0;-58.0;94.156134300721
0;-57.0;96.7715453796418
0;-56.0;99.35747890839292
0;-55.0;101.91314718657104
0;-54.0;104.43777173286132
0;-53.0;106.93058352217035
0;-52.0;109.3908232198787
0;-51.0;111.81774141314158
0;-50.0;114.21059883916723
0;-49.0;116.56866661040355
0;-48.0;118.89122643656434
0;-47.0;121.17757084342735
0;-46.0;123.42700338833798
0;-45.0;125.63883887235228
0;-44.0;127.81240354895532
0;-43.0;129.94703532929077
0;-42.0;132.04208398383972
0;-41.0;134.09691134048683
0;-40.0;136.11089147891366
0;-39.0;138.0834109212602
0;-38.0;140.0138688189961
0;-37.0;141.9016771359449
0;-36.0;143.7462608274057
0;-35.0;145.54705801531716
0;-34.0;147.30352015941116
0;-33.0;149.01511222430338
0;-32.0;150.68131284247025
0;-31.0;152.30161447306264
0;-30.0;153.8755235565077
0;-29.0;155.40256066485173
0;-28.0;156.88226064779886
0;-27.0;158.3141727744001
0;-26.0;159.6978608703504
0;-25.0;161.0329034508517
0;-24.0;162.3188938490011
0;-23.0;163.5554403396657
0;-22.0;164.74216625880564
0;-21.0;165.87871011820997
0;-20.0;166.96472571560918
0;-19.0;167.99988224013177
0;-18.0;168.9838643730726
0;-17.0;169.91637238394196
0;-16.0;170.79712222176633
0;-15.0;171.62584560161304
0;-14.0;172.40229008631263
0;-13.0;173.12621916335343
0;-12.0;173.79741231692572
0;-11.0;174.41566509509298
0;-10.0;174.98078917206973
0;-9.0;175.49261240558772
0;-8.0;175.95097888933185
0;-7.0;176.3557490004309
0;-6.0;176.7067994419879
0;-5.0;177.0040232806377
0;-4.0;177.2473299791197
0;-3.0;177.43664542385667
0;-2.0;177.5719119475301
0;-1.0;177.65308834664663
0;0.0;177.6801498940886
0;1.0;177.65308834664663
0;2.0;177.5719119475301
0;3.0;177.43664542385667
0;4.0;177.2473299791197
0;5.0;177.0040232806377
0;6.0;176.7067994419879
0;7.0;176.3557490004309
0;8.0;175.95097888933185
0;9.0;175.49261240558772
0;10.0;174.98078917206973
0;11.0;174.41566509509298
0;12.0;173.79741231692572
0;13.0;173.12621916335343
0;14.0;172.40229008631263
0;15.0;171.62584560161304
0;16.0;170.79712222176633
0;17.0;169.91637238394196
0;18.0;168.9838643730726
0;19.0;167.99988224013177
0;20.0;166.96472571560918
0;21.0;165.87871011820997
0;22.0;164.74216625880564
0;23.0;163.5554403396657
0;24.0;162.3188938490011
0;25.0;161.0329034508517
0;26.0;159.6978608703504
0;27.0;158.3141727744001
0;28.0;156.88226064779886
0;29.0;155.40256066485173
0;30.0;153.8755235565077
0;31.0;152.30161447306264
0;32.0;150.68131284247025
0;33.0;149.01511222430338
0;34.0;147.30352015941116
0;35.0;145.54705801531716
0;36.0;143.7462608274057
0;37.0;141.9016771359449
0;38.0;140.0138688189961
0;39.0;138.0834109212602
0;40.0;136.11089147891366
0;41.0;134.09691134048683
0;42.0;132.04208398383972
0;43.0;129.94703532929077
0;44.0;127.81240354895532
0;45.0;125.63883887235228
0;46.0;123.42700338833798
0;47.0;121.17757084342735
0;48.0;118.89122643656434
0;49.0;116.56866661040355
0;50.0;114.21059883916723
0;51.0;111.81774141314158
0;52.0;109.3908232198787
0;53.0;106.93058352217035
0;54.0;104.43777173286132
0;55.0;101.91314718657104
0;56.0;99.35747890839292
0;57.0;96.7715453796418
0;58.0;94.156134300721
0;59.0;91.51204235118126
0;60.0;88.84007494704433
0;61.0;86.14104599546535
0;62.0;83.41577764680912
0;63.0;80.66510004421488
0;64.0;77.8898510707268
0;65.0;75.09087609406664
0;66.0;72.2690277091266
0;67.0;69.42516547826055
0;68.0;66.56015566945315
0;69.0;63.67487099244616
0;70.0;60.77019033290251
0;71.0;57.84699848468941
0;72.0;54.9061858803614
0;73.0;51.948648319926086
0;74.0;48.975286697974646
0;75.0;45.98700672926077
0;76.0;42.984718672811006
0;77.0;39.96933705465119
0;78.0;36.94178038923291
0;79.0;33.90297089964496
0;80.0;30.853834236695523
0;81.0;27.795299196949795
0;82.0;24.728297439809563
0;83.0;21.653763203720768
0;84.0;18.5726330215954
