#;S;Ts;a1;a2;a3;a4;a5;a6;airHeatCap;albedo;atm_press;azim;cfc_column;ch4_column;co2_atmpres_share;co2_column;distanceFromPlanetCenter;div_Ts;div_cfc;div_ch4;div_co2;div_nh3;emissivity;frozenCO2;h20_column;h20ice_column;height;height_diff;id_cell;latitude;location;longitude;merid_wind;n1;n2;n2_atmpres_share;n2_column;n3;n4;n5;n6;name;neigh;neighbours;next_step_co2_column;nextstep_cfc_column;nextstep_ch4_column;nextstep_nh3_column;nh3_column;o3_columnpres;pCFC;pCH4;pCO2;pN2;pNH3;ppH2O;prevTs;regolithCO2inv;sh;solarZenithAngle;spec;sunMarsDist;tCFC;tCH4;tCO2;tH2O;tN2;tNH3;temp;thermFluxToSpace;x;y;z;zonal_wind
1881;1.0;159.88030523012853;148;85;212;28;275;332;691.664612;0.170098;504.365814;[28,85,148,212,275,332];0.0;0.0;0.962882;129.07061323510038;3381511.0;0.0;0.0;0.0;0.000000009490516;0.0;0.0;0.00006363262098;0.00249;0.003351;1360.577759;201.14019766666667;1882;-71.130302;{180.0,-71.130302,0.0};180.0;-1.633988;1869;1870;0.017366;1.419752;1881;1883;1895;1896;'cell1881';[1883,1870,1869,1881,1895,1896];[cell[1868],cell[1869],cell[1880],cell[1882],cell[1894],cell[1895]];129.07061323510038;0.0;0.0;0.0;0.0;0.000014;0.0;0.0;0.0049090033470076;0.0000528255645152;0.0;0.0000002173295916;159.840729;1000.0;polygon ([{3.1539994999999976,-72.62179950000001,0.0},{5.331496999999999,-70.967052,0.0},{176.8460005,-72.62179950000001,0.0},{2.356003000000001,-69.5699005,0.0},{174.668503,-70.967052,0.0},{177.643997,-69.5699005,0.0},{3.1539994999999976,-72.62179950000001,0.0}]);108.869698;0;1.557781;0.0;0.0;0.00000846101616824;0.0;0.0;0.0;159.840729;36.066845;0.0;-0.323417;-0.946256;2.746415
664;1.0;177.06954675599314;1;300;59;239;121;180;716.10498;0.243479;572.142212;[1,59,121,180,239,300];0.0;0.0;0.96354;146.88378039124132;3396103.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008453;0.000548;170.905823;200.77114366666666;665;3.55801;{24.9592,3.55801,0.0};24.9592;2.832223;652;653;0.017044;1.680519;664;666;678;679;'cell664';[652,664,678,679,666,653];[cell[651],cell[652],cell[663],cell[665],cell[677],cell[678]];146.88378039124132;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.00556282176833;0.0000625280787444;0.0;0.0000003349056076;177.031708;1000.0;polygon ([{24.997949499999997,5.335515,0.0},{24.9463995,1.779005,0.0},{26.4412005,2.67596,0.0},{23.4412005,2.66033,0.0},{26.4703,4.46906,0.0},{23.4634,4.422295,0.0},{24.997949499999997,5.335515,0.0}]);176.441986;0;1.557781;0.0;0.0;0.00000897376686588;0.0;0.0;0.0;177.031708;55.510975;0.42116;0.904861;0.062059;-2.611968
407;1.0;202.9858890052772;348;294;235;176;56;123;750.225952;0.225231;751.835938;[56,123,176,235,294,348];0.0;0.0;0.96417;193.55903214752712;3391916.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011274;0.00019;-2858.952148;200.4608759999999;408;11.0497;{-42.6908,11.0497,0.0};-42.6908;0.769235;386;387;0.016693;2.188004;403;409;414;415;'cell407';[414,415,409,403,387,386];[cell[385],cell[386],cell[402],cell[408],cell[413],cell[414]];193.55903214752712;0.0;0.0;0.0;0.0;0.000002;0.0;0.0;0.0073192435106844;0.0000814103776304;0.0;0.0000004265479264;202.947586;1000.0;polygon ([{-43.048849000000004,12.73925,0.0},{-41.219349,10.112504999999999,0.0},{-41.350300000000004,11.94135,0.0},{-42.575500500000004,9.21095,0.0},{-44.015049000000005,10.14635,0.0},{-44.406849,11.80645,0.0},{-43.048849000000004,12.73925,0.0}]);168.950302;0;1.557781;0.0;0.0;0.00001017451659961;0.0;0.0;0.0;202.947586;87.965256;-0.665472;0.721397;0.19166;1.745242
1789;1.0;154.48402334895633;83;43;180;0;317;277;684.25415;0.318766;409.829102;[0,43,83,180,277,317];0.0;0.0;0.940391;105.02315638998137;3381230.5;0.0;0.0;0.0;0.00000000414391433;0.0;10.452869;0.00296218259960927;0.001372;0.002863;2761.22583;200.30664083333355;1790;-86.8283;{-90.0,-86.8283,0.0};-90.0;4.217611;1771;1772;0.027889;1.180425;1789;1791;1835;1844;'cell1789';[1791,1772,1771,1789,1844,1835];[cell[1770],cell[1771],cell[1788],cell[1790],cell[1834],cell[1843]];105.02315638998137;0.0;0.0;0.0;0.0;0.000014;0.0;0.0;0.0039899854126064;0.00004392078123;0.0;0.000000157574186;154.384552;1000.0;polygon ([{-58.394,-86.617599,0.0},{-121.606003,-86.617599,0.0},{-106.712002,-85.50389849999999,0.0},{-90.0,-85.242401,0.0},{45.0,-88.41415,0.0},{-73.287901,-85.50389849999999,0.0},{-58.394,-86.617599,0.0}]);93.1717;0;1.557781;0.0;0.0;0.00000770321148254;0.0;0.0;0.0;154.384552;32.049057;-0.055329;-0.0;-0.998468;1.046311
3963;1.0;184.73472773259385;270;213;337;156;32;85;726.51062;0.126269;492.942566;[32,85,156,213,270,337];0.0;0.0;0.964809;126.49370857726178;3386237.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004018;0.001575;1833.760986;199.83335416666665;3964;-53.7714;{-107.094002,-53.7714,0.0};-107.094002;-1.782975;3947;3948;0.01643;1.403329;3963;3965;3981;3982;'cell3963';[3981,3982,3965,3948,3947,3963];[cell[3946],cell[3947],cell[3962],cell[3964],cell[3980],cell[3981]];126.49370857726178;0.0;0.0;0.0;0.0;0.000008;0.0;0.0;0.0047964823927512;0.0000522145041004;0.0;0.0000002081021068;184.694275;1000.0;polygon ([{-109.8689995,-53.7685505,0.0},{-104.3400005,-53.6398505,0.0},{-105.502003,-52.1930995,0.0},{-105.918499,-55.26585,0.0},{-108.123501,-52.2574005,0.0},{-108.8655015,-55.3297,0.0},{-109.8689995,-53.7685505,0.0}]);126.2286;0;1.557781;0.0;0.0;0.00000838371594622;0.0;0.0;0.0;184.694275;60.505001;-0.564901;-0.173717;-0.806666;-0.260946
1922;1.0;162.9221678618082;186;124;248;60;312;4;696.107117;0.186449;515.138489;[4,60,124,186,248,312];0.0;0.0;0.963043;132.07452771971865;3381543.75;0.0;0.0;0.0;0.00000001450075764;0.0;0.0;0.00006285823198556;0.002856;0.00328;1072.70874;199.56116766666665;1923;-70.077599;{142.214005,-70.077599,0.0};142.214005;-2.010267;1907;1908;0.017287;1.454693;1922;1924;1939;1940;'cell1922';[1940,1924,1908,1907,1922,1939];[cell[1906],cell[1907],cell[1921],cell[1923],cell[1938],cell[1939]];132.07452771971865;0.0;0.0;0.0;0.0;0.000014;0.0;0.0;0.0050139023616116;0.0000541256352668;0.0;0.0000002283058336;162.88295;1000.0;polygon ([{141.56300399999998,-71.8847505,0.0},{142.5825045,-68.26490050000001,0.0},{138.6370015,-68.9371495,0.0},{146.361504,-69.22449900000001,0.0},{137.45050049999998,-70.7181515,0.0},{146.6295015,-71.0289995,0.0},{141.56300399999998,-71.8847505,0.0}]);109.922401;0;1.557781;0.0;0.0;0.00000855007145798;0.0;0.0;0.0;162.88295;38.414253;0.208779;-0.269296;-0.940155;-0.424644
2894;1.0;150.708708065168;27;310;98;257;147;198;677.689392;0.232264;820.421631;[27,98,147,198,257,310];0.0;0.0;0.968886;209.84775928946956;3374358.5;0.0;0.0;0.0;0.00000000046409543;0.0;2.4801;0.01400856668905377;0.000015;0.009024;-4341.016113;199.3521316666663;2895;81.293602;{111.588997,81.293602,0.0};111.588997;-0.927048;2882;2883;0.014551;2.339103;2894;2896;2908;2909;'cell2894';[2882,2894,2908,2909,2896,2883];[cell[2881],cell[2882],cell[2893],cell[2895],cell[2907],cell[2908]];209.84775928946956;0.0;0.0;0.0;0.0;0.000055;0.0;0.0;0.0079827799990128;0.0000870324087828;0.0;0.0000003363194964;150.65686;1000.0;polygon ([{117.5065005,82.7365495,0.0},{108.6779975,79.7591515,0.0},{117.182499,79.75505050000001,0.0},{100.7944985,80.88920200000001,0.0},{122.807995,81.0526505,0.0},{100.7944985,82.475052,0.0},{117.5065005,82.7365495,0.0}]);98.706398;0;1.557781;0.0;0.0;0.00001055561765206;0.0;0.0;0.0;150.65686;24.873257;0.140752;-0.055695;0.988477;2.183325
3188;1.0;201.01134593074542;272;218;105;51;162;341;747.720642;0.229912;726.046936;[51,105,162,218,272,341];0.0;0.0;0.963714;186.91868525616152;3392851.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010663;0.00021;-2402.566162;199.05238833333343;3189;12.0565;{117.737999,12.0565,0.0};117.737999;1.247421;1205;1206;0.016912;2.121129;3170;3171;3188;3190;'cell3188';[3171,3170,3188,1206,1205,3190];[cell[1204],cell[1205],cell[3169],cell[3170],cell[3187],cell[3189]];186.91868525616152;0.0;0.0;0.0;0.0;0.000002;0.0;0.0;0.0070622279952636;0.0000789221193804;0.0;0.0000004045582348;200.97316;1000.0;polygon ([{116.019001,12.12455,0.0},{117.2194975,13.56005,0.0},{118.244999,10.55101,0.0},{119.076,13.120000000000001,0.0},{119.567501,11.57845,0.0},{116.566498,10.602115,0.0},{116.019001,12.12455,0.0}]);167.943497;0;1.557781;0.0;0.0;0.00001001415107815;0.0;0.0;0.0;200.97316;84.527298;0.865562;-0.455163;0.208875;-0.513597
3235;1.0;175.76540725191242;156;91;212;33;271;335;714.304993;0.302611;605.942444;[33,91,156,212,271,335];0.0;0.0;0.963913;155.78218894680288;3395048.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00892;0.000229;-465.431793;198.92341850000003;3236;12.5889;{-79.548103,12.5889,0.0};-79.548103;1.36018;3228;3229;0.016871;1.773011;3235;3237;3244;3245;'cell3235';[3237,3229,3228,3235,3244,3245];[cell[3227],cell[3228],cell[3234],cell[3236],cell[3243],cell[3244]];155.78218894680288;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.0058936029878852;0.0000659694840836;0.0;0.0000003404123324;175.729218;1000.0;polygon ([{-78.83115000000001,11.023150000000001,0.0},{-80.2992515,14.1467,0.0},{-81.28840249999999,12.61535,0.0},{-78.51385099999999,14.10565,0.0},{-80.5273015,11.04584,0.0},{-77.8107525,12.5525,0.0},{-78.83115000000001,11.023150000000001,0.0}]);167.411102;0;1.557781;0.0;0.0;0.00000921721756874;0.0;0.0;0.0;175.729218;55.667595;-0.959765;0.177048;0.217955;0.023965
3765;1.0;188.22430465476347;0;306;61;244;124;179;731.162537;0.156026;728.795654;[0,61,124,179,244,306];0.0;0.0;0.965036;187.7949306318859;3383519.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007991;0.002121;-2232.334961;198.641622;3766;-48.445801;{-36.779202,-48.445801,0.0};-36.779202;-0.0;3748;3749;0.016315;2.078932;3765;3767;3784;3785;'cell3765';[3748,3765,3784,3785,3767,3749];[cell[3747],cell[3748],cell[3764],cell[3766],cell[3783],cell[3784]];187.7949306318859;0.0;0.0;0.0;0.0;0.000013;0.0;0.0;0.0071105758483644;0.0000773520702832;0.0;0.0000003762432512;188.184433;1000.0;polygon ([{-36.771252000000004,-46.656851,0.0},{-36.7389015,-50.230900000000005,0.0},{-34.490449999999996,-49.432501,0.0},{-39.0463505,-49.1676505,0.0},{-34.648602,-47.635101500000005,0.0},{-38.9210515,-47.397051000000005,0.0},{-36.771252000000004,-46.656851,0.0}]);131.554199;0;1.557781;0.0;0.0;0.00001003548841906;0.0;0.0;0.0;188.184433;69.61039;-0.397157;0.531292;-0.748328;-0.0
