#;OMEGA;insol;kat;lat;location;name;sollon;zachSlonca
0;90.0;0.03106368646950627;0.0;-90.0;{10.927503919328075,61.14189983475834,0.0};'xxx0';0.0;0.0
1;90.0;30.90621765645223;0.0;-80.0;{82.68368654931865,51.85360111788909,0.0};'xxx1';0.0;0.0
2;90.0;60.8733655287139;0.0;-70.0;{47.224757872095815,48.30390771598054,0.0};'xxx2';0.0;0.0
3;90.0;88.99090699279485;0.0;-60.0;{42.13892765922331,6.608013931769808,0.0};'xxx3';0.0;0.0
4;90.0;114.40450477947145;0.0;-50.0;{72.63424154008617,98.66228345897125,0.0};'xxx4';0.0;0.0
5;90.0;136.34197957989656;0.0;-40.0;{96.40705354381554,54.75121465281323,0.0};'xxx5';0.0;0.0
6;90.0;154.13677232315715;0.0;-30.0;{52.949063620140805,15.560393624878587,0.0};'xxx6';0.0;0.0
7;90.0;167.24819723634877;0.0;-20.0;{4.510158134322417,53.27682683442442,0.0};'xxx7';0.0;0.0
8;90.0;175.27787030818533;0.0;-10.0;{32.59442861470126,1.6335874883984247,0.0};'xxx8';0.0;0.0
9;90.0;177.98181398558964;0.0;0.0;{24.27630795431045,37.36141397576729,0.0};'xxx9';0.0;-0.0
10;90.0;175.27787030818533;0.0;10.0;{14.909656374325564,82.69753341353537,0.0};'xxx10';0.0;-0.0
11;90.0;167.24819723634877;0.0;20.0;{60.59367605601683,35.968210579287216,0.0};'xxx11';0.0;-0.0
12;90.0;154.13677232315715;0.0;30.0;{88.42618232570139,27.308104013330347,0.0};'xxx12';0.0;-0.0
13;90.0;136.34197957989656;0.0;40.0;{4.641888303949527,95.0943712947053,0.0};'xxx13';0.0;-0.0
14;90.0;114.40450477947145;0.0;50.0;{89.03581760420288,53.20883619454321,0.0};'xxx14';0.0;-0.0
15;90.0;88.99090699279485;0.0;60.0;{81.03442610517048,42.7595256165877,0.0};'xxx15';0.0;-0.0
16;90.0;60.8733655287139;0.0;70.0;{44.27069506678143,76.23450381057539,0.0};'xxx16';0.0;-0.0
17;90.0;30.90621765645223;0.0;80.0;{41.23346659803981,54.706873884470674,0.0};'xxx17';0.0;-0.0
18;90.0;0.03106368646950627;0.0;90.0;{89.30578370308385,86.3555657796176,0.0};'xxx18';0.0;-0.0
19;0.0;0.0;4.330090958302574;-90.0;{84.85972835943198,50.763334453074826,0.0};'xxx19';10.0;433.83535362764957
20;64.56916259175965;12.971593203117608;4.330090958302574;-80.0;{42.21896126121278,92.16798916678063,0.0};'xxx20';10.0;0.42942125923211344
21;77.99277593792822;41.429717329657365;4.330090958302574;-70.0;{19.776972633934044,51.738388085230206,0.0};'xxx21';10.0;0.2080350176026928
22;82.46404200706625;69.58843211177185;4.330090958302574;-60.0;{21.734239828370793,9.798610870363845,0.0};'xxx22';10.0;0.1311483827637335
23;84.82270891999464;95.88573882107926;4.330090958302574;-50.0;{61.8274338004575,1.7185868129082849,0.0};'xxx23';10.0;0.09023785886568728
24;86.35723548122647;119.38192867398756;4.330090958302574;-40.0;{89.6578187623301,94.87154445417197,0.0};'xxx24';10.0;0.06353541081223128
25;87.494451901251;139.3154625033099;4.330090958302574;-30.0;{32.145032245540875,65.07739105909775,0.0};'xxx25';10.0;0.04371612758791119
26;88.42076847966128;155.06017747903445;4.330090958302574;-20.0;{66.25433497755941,50.136060307200225,0.0};'xxx26';10.0;0.02755929987131828
27;89.23500848350307;166.12783750540638;4.330090958302574;-10.0;{22.13185642344948,19.097581890416272,0.0};'xxx27';10.0;0.013351224026728
28;90.0;172.177544028062;4.330090958302574;0.0;{78.74485102129984,51.721781906125486,0.0};'xxx28';10.0;-0.0
29;90.76499151649693;173.02411408913326;4.330090958302574;10.0;{42.0833493861133,83.61433171175435,0.0};'xxx29';10.0;-0.013351224026728
30;91.57923152033874;168.64319077217604;4.330090958302574;20.0;{45.68774224819742,37.73475891080318,0.0};'xxx30';10.0;-0.02755929987131828
31;92.505548098749;159.17249952029042;4.330090958302574;30.0;{72.7301313497021,12.959377727809585,0.0};'xxx31';10.0;-0.04371612758791119
32;93.64276451877355;144.90964339319163;4.330090958302574;40.0;{5.375561952727725,15.718338525327269,0.0};'xxx32';10.0;-0.06353541081223128
33;95.17729108000536;126.30848454841082;4.330090958302574;50.0;{38.31322071396832,23.910264553140102,0.0};'xxx33';10.0;-0.09023785886568728
34;97.53595799293376;103.98182911295801;4.330090958302574;60.0;{76.49833407371335,52.71004932604131,0.0};'xxx34';10.0;-0.1311483827637335
35;102.0072240620718;78.7487396407158;4.330090958302574;70.0;{46.13648909893622,53.38033688414041,0.0};'xxx35';10.0;-0.2080350176026928
36;115.43083740824035;52.082321215463246;4.330090958302574;80.0;{91.32975757710304,4.7154745299684215,0.0};'xxx36';10.0;-0.42942125923211344
37;180.0;39.7140734290811;4.330090958302574;90.0;{71.33520531317681,95.56845481537533,0.0};'xxx37';10.0;-433.83535362764957
38;0.0;0.0;8.528614293968875;-90.0;{63.51562900505664,95.82881400946069,0.0};'xxx38';20.0;859.2167131514964
39;31.73667944055799;1.9607561001779994;8.528614293968875;-80.0;{77.48097642822083,47.636857826459014,0.0};'xxx39';20.0;0.8504745402364505
40;65.66845190596982;25.682533542871344;8.528614293968875;-70.0;{69.24971879364342,83.75863172972593,0.0};'xxx40';20.0;0.41201613135109727
41;74.94529808282842;52.770820144885484;8.528614293968875;-60.0;{94.28035830440335,66.79387191191573,0.0};'xxx41';20.0;0.2597411239797303
42;79.7049458059414;79.24876552661009;8.528614293968875;-50.0;{8.634424987104627,26.674538290585314,0.0};'xxx42';20.0;0.17871728490562322
43;82.77115258985124;103.75186765368808;8.528614293968875;-40.0;{27.5723531867482,11.521146746976928,0.0};'xxx43';20.0;0.1258327298371107
44;85.03309125428441;125.35030157336392;8.528614293968875;-30.0;{12.542907287455652,15.260655322857463,0.0};'xxx44';20.0;0.08658037465991013
45;86.87115202157781;143.30877739604185;8.528614293968875;-20.0;{58.619694473787774,19.72124835044039,0.0};'xxx45';20.0;0.05458156153985094
46;88.4847924909045;157.0438488950495;8.528614293968875;-10.0;{60.24218840626758,27.166842817507952,0.0};'xxx46';20.0;0.02644227753425626
47;90.0;166.12050816668457;8.528614293968875;0.0;{92.55324004463571,62.50351575200739,0.0};'xxx47';20.0;-0.0
48;91.5152075090955;170.25773824517321;8.528614293968875;10.0;{61.424153366851165,60.96921821877809,0.0};'xxx48';20.0;-0.02644227753425626
49;93.12884797842219;169.33505875493637;8.528614293968875;20.0;{20.500888700479315,36.7167883514809,0.0};'xxx49';20.0;-0.05458156153985094
50;94.9669087457156;163.39817955187308;8.528614293968875;30.0;{28.635310732337594,99.68893789550253,0.0};'xxx50';20.0;-0.08658037465991013
51;97.22884741014877;152.66527673259014;8.528614293968875;40.0;{9.805072436165485,78.21801066121523,0.0};'xxx51';20.0;-0.1258327298371107
52;100.29505419405861;137.54149652242188;8.528614293968875;50.0;{32.39530359127891,65.07465029232445,0.0};'xxx52';20.0;-0.17871728490562322
53;105.0547019171716;118.67167792384441;8.528614293968875;60.0;{37.683537312121565,50.926227289970235,0.0};'xxx53';20.0;-0.2597411239797303
54;114.3315480940302;97.1891538888068;8.528614293968875;70.0;{42.76426808992903,43.187241620825176,0.0};'xxx54';20.0;-0.41201613135109727
55;148.26332055944204;76.90044653797457;8.528614293968875;80.0;{23.698025304623304,14.477655056096683,0.0};'xxx55';20.0;-0.8504745402364505
56;180.0;76.09575479801372;8.528614293968875;90.0;{66.51397867781162,36.776495248077545,0.0};'xxx56';20.0;-859.2167131514964
57;0.0;0.0;12.467999999999998;-90.0;{25.98805853648508,91.47498436845898,0.0};'xxx57';30.0;1266.8599781522369
58;0.0;0.0;12.467999999999998;-80.0;{27.08786667892649,70.9282441698062,0.0};'xxx58';30.0;1.253970204456453
59;52.591666363036154;13.68639111478752;12.467999999999998;-70.0;{46.51721333413123,59.36950470740703,0.0};'xxx59';30.0;0.6074913804310362
60;67.48212514968868;38.704333349868435;12.467999999999998;-60.0;{51.25312666798313,68.10700478089831,0.0};'xxx60';30.0;0.38297164104648856
61;74.72173177747514;64.76385946148066;12.467999999999998;-50.0;{99.90329729748554,20.36569297977614,0.0};'xxx61';30.0;0.26350718297892856
62;79.30783202354688;89.7912066293055;12.467999999999998;-40.0;{64.85284616697429,31.977071481766718,0.0};'xxx62';30.0;0.18553229579016683
63;82.66576745464724;112.61941373602099;12.467999999999998;-30.0;{21.36410341218359,81.27209201567736,0.0};'xxx63';30.0;0.1276572136821629
64;85.38401493954525;132.38414122489561;12.467999999999998;-20.0;{19.86607777610565,21.81098380865183,0.0};'xxx64';30.0;0.0804770144731793
65;87.76561773282633;148.40381718102228;12.467999999999998;-10.0;{16.36056886294821,2.9417627454564887,0.0};'xxx65';30.0;0.03898744359438084
66;90.0;160.15392819409635;12.467999999999998;0.0;{68.03159451082259,72.57052697174001,0.0};'xxx66';30.0;-0.0
67;92.23438226717367;167.2663019387116;12.467999999999998;10.0;{74.28555628676068,93.55927589781233,0.0};'xxx67';30.0;-0.03898744359438084
68;94.61598506045475;169.53598368578966;12.467999999999998;20.0;{28.386961735749505,80.741772852282,0.0};'xxx68';30.0;-0.0804770144731793
69;97.33423254535278;166.93177396668491;12.467999999999998;30.0;{67.06494965105892,26.532950434976843,0.0};'xxx69';30.0;-0.1276572136821629
70;100.69216797645313;159.61383104751093;12.467999999999998;40.0;{92.25258234048324,27.840505498754464,0.0};'xxx70';30.0;-0.18553229579016683
71;105.27826822252486;147.97522295623324;12.467999999999998;50.0;{17.122401641034322,5.84832176377007,0.0};'xxx71';30.0;-0.26350718297892856
72;112.51787485031133;132.77610074836167;12.467999999999998;60.0;{24.59825498403282,90.45567321524854,0.0};'xxx72';30.0;-0.38297164104648856
73;127.40833363696385;115.76023936722937;12.467999999999998;70.0;{63.74245378959165,69.96044746317871,0.0};'xxx73';30.0;-0.6074913804310362
74;180.0;106.97446687909952;12.467999999999998;80.0;{81.37954689988337,72.79237107690862,0.0};'xxx74';30.0;-1.253970204456453
75;180.0;108.62471880687876;12.467999999999998;90.0;{67.24421526199572,28.01803039220383,0.0};'xxx75';30.0;-1266.8599781522369
76;0.0;0.0;16.028551835143542;-90.0;{22.753831071623686,38.50618747436143,0.0};'xxx76';40.0;1646.0204100456456
77;0.0;0.0;16.028551835143542;-80.0;{28.620864532879843,80.07722303892577,0.0};'xxx77';40.0;1.6292728365568412
78;37.87907353348709;5.386245058817116;16.028551835143542;-70.0;{32.17253069615943,42.256056337771156,0.0};'xxx78';40.0;0.7893083911094456
79;60.159197704019206;27.42010805580729;16.028551835143542;-60.0;{1.7761557149257867,52.40795798817361,0.0};'xxx79';40.0;0.49759180059553754
80;69.97850549348051;52.59843699483585;16.028551835143542;-50.0;{57.82114012546149,74.00948625175582,0.0};'xxx80';40.0;0.3423726448518584
81;76.05085749041919;77.7667025293511;16.028551835143542;-40.0;{12.608192626983294,89.23980311755622,0.0};'xxx81';40.0;0.24106053617595782
82;80.45257420864299;101.45551265235002;16.028551835143542;-30.0;{98.29121240939253,52.47861566010255,0.0};'xxx82';40.0;0.1658639335318459
83;83.9980044453882;122.65569483669499;16.028551835143542;-20.0;{4.16915872322109,77.2625949004399,0.0};'xxx83';40.0;0.10456310140572898
84;87.09637917643163;140.58709380281624;16.028551835143542;-10.0;{85.83199513206799,58.06893213805737,0.0};'xxx84';40.0;0.05065605433795029
85;90.0;154.6418018290942;16.028551835143542;0.0;{76.82009047457858,42.76108915108775,0.0};'xxx85';40.0;-0.0
86;92.90362082356837;164.37418809585787;16.028551835143542;10.0;{3.33383170591679,91.04986759214952,0.0};'xxx86';40.0;-0.05065605433795029
87;96.00199555461181;169.50712459953465;16.028551835143542;20.0;{98.3904208533627,37.46920109293499,0.0};'xxx87';40.0;-0.10456310140572898
88;99.54742579135703;169.94772089961123;16.028551835143542;30.0;{68.82218482470358,3.2736653361271073,0.0};'xxx88';40.0;-0.1658639335318459
89;103.94914250958082;165.8185881721705;16.028551835143542;40.0;{15.158099127400703,85.38331991737147,0.0};'xxx89';40.0;-0.24106053617595782
90;110.0214945065195;157.53458804436042;16.028551835143542;50.0;{76.31681747124425,30.35642078917541,0.0};'xxx90';40.0;-0.3423726448518584
91;119.84080229598081;146.05209266265177;16.028551835143542;60.0;{56.77926221873235,12.073163827939215,0.0};'xxx91';40.0;-0.49759180059553754
92;142.12092646651294;134.1094904013833;16.028551835143542;70.0;{96.9991833476744,7.232235130471921,0.0};'xxx92';40.0;-0.7893083911094456
93;180.0;134.90331540565904;16.028551835143542;80.0;{96.63893052812126,67.25481028785089,0.0};'xxx93';40.0;-1.6292728365568412
94;180.0;136.98441440813045;16.028551835143542;90.0;{47.35487026688361,61.02400005383668,0.0};'xxx94';40.0;-1646.0204100456456
