n.id_cell,n.co2_column,n.Ts,n.insol,n.energy
8,0.0,240.23766288208853,151.40033051665534,-42.040799595447915
8,0.0,239.97521875600256,151.40033051665534,-42.3015437046993
8,0.0,239.7121850553486,149.1100457166302,-42.39657312954021
8,0.0,239.45373130555956,149.1100457166302,-41.65836269760543
8,0.0,239.18801565277334,146.8161986901487,-42.828858344030536
8,0.0,238.92048795988288,146.8161986901487,-43.12092848790275
8,0.0,238.65252524024706,144.51954206944552,-43.191047423905225
8,0.0,238.38918600338462,144.51954206944552,-42.445820386354036
8,0.0,238.11234921009387,142.22084926900962,-44.62139764797832
8,0.0,237.84046872940132,142.22084926900962,-43.82252408538417
8,0.0,237.56209056698398,139.92091359109972,-44.869840219144486
8,0.0,237.28868115646657,139.92091359109972,-44.06896165201227
8,0.0,237.00871325096477,137.62054727228005,-45.126079852204874
8,0.0,236.722244392926,135.32058047447947,-46.173923185436934
8,0.0,236.44735071442975,135.32058047447947,-44.30820048624644
8,0.0,236.15866142624847,133.02186022414395,-46.53181887971876
8,0.0,235.8816146239913,133.02186022414395,-44.65524753291324
8,0.0,235.59081871681798,130.72524930310894,-46.871370146081134
8,0.0,235.3117256842795,130.72524930310894,-44.985065162922396
8,0.0,235.01888767167975,128.4316250948564,-47.20052291941109
8,0.0,234.73108881295238,128.4316250948564,-46.388296747896824
8,0.0,234.44346697748122,126.14187838984657,-46.35976360020781
8,0.0,234.15360468728923,126.14187838984657,-46.72088691702897
8,0.0,233.8573013883882,123.85691215362577,-47.75906832147087
8,0.0,233.57281783257378,123.85691215362577,-45.85392612525159
8,0.0,233.27445071199452,121.57764026141,-48.09172138641949
8,0.0,232.96980305138138,119.30498620282704,-49.10403796097882
8,0.0,232.67023648212398,119.30498620282704,-48.28505217814437
8,0.0,232.37131875666094,117.0398817604733,-48.180469558852536
8,0.0,232.0697957616247,117.0398817604733,-48.600394844876995
8,0.0,231.76205920723956,114.78326566590131,-49.601915268597345
8,0.0,231.46647760300206,114.78326566590131,-47.64274337716149
